"Psychiatric.Prognosis","Parole.Adjustment","Major.Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Unfavorable","Major Violation","Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
